entry,R1-,R2,organocatalyst,organocatalyst(mol%),solvent,under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),yield
2h,[*]C1=CC(Cl)=CC=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,48,0,0,95
2h-c,[*]C1=CC(Cl)=CC=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,72,0,0,81
2i,[*]C1=CC(Br)=CC=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,72,0,0,95
2j,[*]C1=CC=CC(OC)=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,48,0,0,89
2k,[*]C1=CC(C)=C(C)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,72,0,0,99
2l,[*]C1=CC=CC=C1,Ph,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,60,48,0,0,96
2l-c,[*]C1=CC=CC=C1,Ph,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,60,72,0,0,92
2m,[*]C1=CSC=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,60,48,0,0,83
2n,,,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,60,48,0,0,53
2o,,,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,60,48,0,0,25
2p,[*]C1=CC=CC=C1,H,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,12,0,0,99
